iteration,coll_call_num_num_traces,coll_call_num_total_calls,comm_comp_overlap_comm_time_ms,comm_comp_overlap_comp_time_ms,comm_comp_overlap_num_comm_kernels,comm_comp_overlap_num_comp_kernels,comm_comp_overlap_overlap_ratio_of_comm,comm_comp_overlap_overlap_ratio_of_comp,comm_comp_overlap_overlap_time_ms,comm_volume_bytes_per_step,comm_volume_dp_bytes,comm_volume_ep_bytes,comm_volume_gb_per_step,comm_volume_mode,comm_volume_num_steps,comm_volume_pp_bytes,comm_volume_total_bytes,comm_volume_tp_bytes,comm_volume_unknown_bytes,hardware_saturation_estimated_flops_per_token,hardware_saturation_gpu_model,hardware_saturation_mfu_percent,hardware_saturation_num_gpus,hardware_saturation_peak_tflops_per_gpu,hardware_saturation_tflops_per_gpu,iter_time_avg_iter_time_ms,iter_time_max_iter_time_ms,iter_time_min_iter_time_ms,iter_time_num_iterations,iter_time_std_iter_time_ms,pipeline_bubble_bubble_ratio,pipeline_bubble_bubble_time_ms,pipeline_bubble_method,pipeline_bubble_num_ranks,pipeline_bubble_total_time_ms,pipeline_bubble_warning,straggler_lag_max_lag_us,straggler_lag_mean_lag_us,straggler_lag_min_lag_us,straggler_lag_normalized_lag,straggler_lag_num_collectives,straggler_lag_num_ranks,straggler_lag_p50_lag_us,straggler_lag_p95_lag_us,throughput_tokens_batch_size,throughput_tokens_measured_duration_s,throughput_tokens_num_iterations,throughput_tokens_seq_len,throughput_tokens_throughput_tokens_per_s,throughput_tokens_total_tokens,traffic_distribution_dp_bytes,traffic_distribution_ep_bytes,traffic_distribution_mode,traffic_distribution_pp_bytes,traffic_distribution_total_bytes,traffic_distribution_total_comm_calls,traffic_distribution_tp_bytes,traffic_distribution_unknown_bytes,training_quality_has_grad_norm,training_quality_has_loss,training_quality_has_lr
5,4,3152,271.3347470703125,2411.9615400390626,1875,42582,0.1892188990305416,0.021286268979456242,51.341662109375,677589827.0,0.0,0.0,0.6310547022148967,nvtx,1,0.0,677589827.0,0.0,677589827.0,48000000000.0,unknown,45.93507692951074,4,312.0,35.82936000501838,1370.0719410000002,1370.0719410000002,1370.0719410000002,1,0.0,0.08914597789138261,489.2286740937501,heuristic,4,5487.9500530000005,Using heuristic gap-based analysis. For accurate pipeline bubble measurement, use NVTX ranges or Torch Profiler with stage tagging.,16906.1396484375,4908.401223429569,20.396484375,0.0035775844721811054,788,4,4349.658203125,11973.375,4,1.5208342529296874,1,8192,21546.0691636033,32768,212731.46199999997,0.0,nvtx,0.0,677589.827,5408,0.0,464858.36500000005,False,False,False
10,4,3176,255.3435859375,2448.79278515625,1884,42796,0.17414053992630457,0.018158200314624735,44.465669921875,638084466.0,0.0,0.0,0.5942624676972628,nvtx,1,0.0,638084466.0,0.0,638084466.0,48000000000.0,unknown,45.938115704370944,4,312.0,35.83173024940933,1377.350597,1377.350597,1377.350597,1,0.0,0.0855855316465125,470.28857709375,heuristic,4,5494.954206,Using heuristic gap-based analysis. For accurate pipeline bubble measurement, use NVTX ranges or Torch Profiler with stage tagging.,23965.578125,13651.98019447615,229.1123046875,0.009937830003801964,794,4,16491.8759765625,21814.826171875,4,1.4716631494140624,1,8192,22265.964879970303,32768,207977.22500000003,0.0,nvtx,0.0,638084.466,5444,0.0,430107.24100000004,False,False,False
15,4,3152,246.54791015625,2367.7907392578127,1875,42582,0.1615472414281802,0.016821222460777722,39.829134765625,612517704.0,0.0,0.0,0.5704515650868416,nvtx,1,0.0,612517704.0,0.0,612517704.0,48000000000.0,unknown,47.72318624594452,4,312.0,37.22408527183672,1329.403727,1329.403727,1329.403727,1,0.0,0.08603044127738649,454.37413889843737,heuristic,4,5281.5507179999995,Using heuristic gap-based analysis. For accurate pipeline bubble measurement, use NVTX ranges or Torch Profiler with stage tagging.,25158.888671875,7501.3741436488735,177.853515625,0.005681190653406785,788,4,4163.8466796875,21181.857421875,4,1.459382041015625,1,8192,22453.33920732355,32768,206373.748,0.0,nvtx,0.0,612517.7039999998,5408,0.0,406143.9559999998,False,False,False
20,4,3176,242.017310546875,2460.1637568359374,1884,42796,0.15200022050979486,0.014952941432494128,36.7866845703125,596320272.0,0.0,0.0,0.5553665310144424,nvtx,1,0.0,596320272.0,0.0,596320272.0,48000000000.0,unknown,46.477408207973795,4,312.0,36.252378402219556,1369.4558,1369.4558,1369.4558,1,0.0,0.08360176368596103,451.54716959375,heuristic,4,5401.1679859999995,Using heuristic gap-based analysis. For accurate pipeline bubble measurement, use NVTX ranges or Torch Profiler with stage tagging.,23988.87109375,8848.965404596976,230.9267578125,0.006553371735545925,794,4,8036.1083984375,21802.9140625,4,1.42901684375,1,8192,22930.450500506915,32768,204755.47499999998,0.0,nvtx,0.0,596320.2720000001,5444,0.0,391564.7970000002,False,False,False
100,4,3176,254.028359375,2505.9752607421874,1884,42796,0.15705253135184524,0.015920267649882615,39.895796875,628838921.0,0.0,0.0,0.5856518829241395,nvtx,1,0.0,628838921.0,0.0,628838921.0,48000000000.0,unknown,43.01915996110871,4,312.0,33.5549447696648,1461.419634,1461.419634,1461.419634,1,0.0,0.1422046586481636,827.7633959453125,heuristic,4,5820.930227,Using heuristic gap-based analysis. For accurate pipeline bubble measurement, use NVTX ranges or Torch Profiler with stage tagging.,47699.9560546875,37950.58155649796,1259.5986328125,0.02607870568897507,794,4,38609.740234375,43633.158203125,4,1.5451210673828124,1,8192,21207.399660599895,32768,213819.96400000015,0.0,nvtx,0.0,628838.9210000001,5444,0.0,415018.9569999999,False,False,False
