iteration,coll_call_num_num_traces,coll_call_num_total_calls,comm_comp_overlap_comm_time_ms,comm_comp_overlap_comp_time_ms,comm_comp_overlap_num_comm_kernels,comm_comp_overlap_num_comp_kernels,comm_comp_overlap_overlap_ratio_of_comm,comm_comp_overlap_overlap_ratio_of_comp,comm_comp_overlap_overlap_time_ms,comm_volume_bytes_per_step,comm_volume_dp_bytes,comm_volume_ep_bytes,comm_volume_gb_per_step,comm_volume_mode,comm_volume_num_steps,comm_volume_pp_bytes,comm_volume_total_bytes,comm_volume_tp_bytes,comm_volume_unknown_bytes,hardware_saturation_estimated_flops_per_token,hardware_saturation_gpu_model,hardware_saturation_mfu_percent,hardware_saturation_num_gpus,hardware_saturation_peak_tflops_per_gpu,hardware_saturation_tflops_per_gpu,iter_time_avg_iter_time_ms,iter_time_max_iter_time_ms,iter_time_min_iter_time_ms,iter_time_num_iterations,iter_time_std_iter_time_ms,pipeline_bubble_bubble_ratio,pipeline_bubble_bubble_time_ms,pipeline_bubble_method,pipeline_bubble_num_ranks,pipeline_bubble_total_time_ms,pipeline_bubble_warning,straggler_lag_max_lag_us,straggler_lag_mean_lag_us,straggler_lag_min_lag_us,straggler_lag_normalized_lag,straggler_lag_num_collectives,straggler_lag_num_ranks,straggler_lag_p50_lag_us,straggler_lag_p95_lag_us,throughput_tokens_batch_size,throughput_tokens_measured_duration_s,throughput_tokens_num_iterations,throughput_tokens_seq_len,throughput_tokens_throughput_tokens_per_s,throughput_tokens_total_tokens,traffic_distribution_dp_bytes,traffic_distribution_ep_bytes,traffic_distribution_mode,traffic_distribution_pp_bytes,traffic_distribution_total_bytes,traffic_distribution_total_comm_calls,traffic_distribution_tp_bytes,traffic_distribution_unknown_bytes,training_quality_has_grad_norm,training_quality_has_loss,training_quality_has_lr
5,4,92,1324.9192958984374,4194.669094726562,31,27339,0.9336232197497814,0.2948922527644453,1236.9754189453124,2576804603.0,0.0,0.0,2.399836297146976,nvtx,1,2573907224.0,2576804603.0,0.0,2897379.0,48000000000.0,unknown,30.828802296552855,4,312.0,96.18586316524491,2037.937648,2037.937648,2037.937648,1,0.0,0.03108420478949245,253.88525071875006,nvtx,4,8167.661114,None,1103968.21875,458599.86809895834,48164.9306640625,0.22459299508050493,15,4,331228.0439453125,1103968.21875,4,2.335815474609375,1,8192,14028.505400444736,32768,0.0,0.0,nvtx,2573907.224,2576804.603,92,0.0,2897.3790000000004,False,False,False
10,4,92,1327.073373046875,4649.951215820312,31,27344,0.9323192330023281,0.26607935693764195,1237.256029296875,2581324513.0,0.0,0.0,2.4040457913652062,nvtx,1,2578360953.0,2581324513.0,0.0,2963560.0,48000000000.0,unknown,27.828031619827847,4,312.0,86.82345865386289,2264.45713,2264.45713,2264.45713,1,0.0,0.020213402224491254,198.30304070312482,nvtx,4,9810.473195,None,1106590.5205078125,460027.7427734375,42954.9677734375,0.18756597510827305,15,4,335073.30859375,1106590.5205078125,4,2.3048119013671875,1,8192,14217.212250840255,32768,0.0,0.0,nvtx,2578360.9529999997,2581324.513,92,0.0,2963.5599999999995,False,False,False
15,4,92,1331.9534423828125,4186.40033984375,31,27339,0.931596343796695,0.29639854201749904,1240.84295703125,2595142617.0,0.0,0.0,2.4169149035587907,nvtx,1,2592221979.0,2595142617.0,0.0,2920638.0,48000000000.0,unknown,30.813676624024488,4,312.0,96.1386710669564,2046.09004,2046.09004,2046.09004,1,0.0,0.028478693705527205,232.90429987500002,nvtx,4,8178.194628,None,1106760.7646484375,462181.00852864585,44770.5947265625,0.226055274813959,15,4,338590.63671875,1106760.7646484375,4,2.3300503193359376,1,8192,14063.215600141568,32768,0.0,0.0,nvtx,2592221.979,2595142.6169999996,92,0.0,2920.638,False,False,False
20,4,92,1333.913630859375,4648.50873828125,31,27344,0.9320796762195496,0.2674650850749945,1243.31378515625,2590464891.0,0.0,0.0,2.412558431737125,nvtx,1,2587543658.0,2590464891.0,0.0,2921233.0,48000000000.0,unknown,27.764759898336056,4,312.0,86.6260508828085,2483.9214730000003,2483.9214730000003,2483.9214730000003,1,0.0,0.020943074636041586,206.00674178906252,nvtx,4,9836.508983,None,1114496.0087890625,462395.77591145836,41141.505859375,0.18803247237840026,15,4,337021.533203125,1114496.0087890625,4,2.32443373046875,1,8192,14097.196908853986,32768,0.0,0.0,nvtx,2587543.6580000003,2590464.8910000003,92,0.0,2921.233,False,False,False
