iteration,coll_call_num_num_traces,coll_call_num_total_calls,comm_comp_overlap_comm_time_ms,comm_comp_overlap_comp_time_ms,comm_comp_overlap_num_comm_kernels,comm_comp_overlap_num_comp_kernels,comm_comp_overlap_overlap_ratio_of_comm,comm_comp_overlap_overlap_ratio_of_comp,comm_comp_overlap_overlap_time_ms,comm_volume_bytes_per_step,comm_volume_dp_bytes,comm_volume_ep_bytes,comm_volume_gb_per_step,comm_volume_mode,comm_volume_num_steps,comm_volume_pp_bytes,comm_volume_total_bytes,comm_volume_tp_bytes,comm_volume_unknown_bytes,hardware_saturation_estimated_flops_per_token,hardware_saturation_gpu_model,hardware_saturation_mfu_percent,hardware_saturation_num_gpus,hardware_saturation_peak_tflops_per_gpu,hardware_saturation_tflops_per_gpu,iter_time_avg_iter_time_ms,iter_time_max_iter_time_ms,iter_time_min_iter_time_ms,iter_time_num_iterations,iter_time_std_iter_time_ms,pipeline_bubble_bubble_ratio,pipeline_bubble_bubble_time_ms,pipeline_bubble_method,pipeline_bubble_num_ranks,pipeline_bubble_total_time_ms,pipeline_bubble_warning,straggler_lag_max_lag_us,straggler_lag_mean_lag_us,straggler_lag_min_lag_us,straggler_lag_normalized_lag,straggler_lag_num_collectives,straggler_lag_num_ranks,straggler_lag_p50_lag_us,straggler_lag_p95_lag_us,throughput_tokens_batch_size,throughput_tokens_measured_duration_s,throughput_tokens_num_iterations,throughput_tokens_seq_len,throughput_tokens_throughput_tokens_per_s,throughput_tokens_total_tokens,traffic_distribution_dp_bytes,traffic_distribution_ep_bytes,traffic_distribution_mode,traffic_distribution_pp_bytes,traffic_distribution_total_bytes,traffic_distribution_total_comm_calls,traffic_distribution_tp_bytes,traffic_distribution_unknown_bytes,training_quality_has_grad_norm,training_quality_has_loss,training_quality_has_lr
5,4,8,127.9287646484375,2300.3572958984373,440,28105,0.3280020913127961,0.018241036911338406,41.96090234375,278685126.0,0.0,0.0,0.25954574905335903,nvtx,1,0.0,278685126.0,0.0,278685126.0,48000000000.0,unknown,50.402723352368085,4,312.0,39.314124214847105,1250.106821,1250.106821,1250.106821,1,0.0,0.0673576327522528,336.7556567656249,heuristic,4,4999.517397,Using heuristic gap-based analysis. For accurate pipeline bubble measurement, use NVTX ranges or Torch Profiler with stage tagging.,356.138671875,355.97802734375,355.8173828125,0.0002848099118985824,2,4,356.138671875,356.138671875,4,1.657742763671875,1,8192,19766.637332452825,32768,21130.35,0.0,nvtx,0.0,278685.126,956,0.0,257554.776,False,False,False
10,4,32,121.6306220703125,3336.1667900390626,449,28238,0.32095363301270835,0.011701390396792905,39.0377900390625,266444647.0,0.0,0.0,0.24814591463655233,nvtx,1,0.0,266444647.0,0.0,266444647.0,48000000000.0,unknown,39.65300052287313,4,312.0,30.92934040784104,1590.0530660000002,1590.0530660000002,1590.0530660000002,1,0.0,0.0520130752367065,330.67244886718737,heuristic,4,6357.4869850000005,Using heuristic gap-based analysis. For accurate pipeline bubble measurement, use NVTX ranges or Torch Profiler with stage tagging.,1356.5703125,1015.154052734375,323.1748046875,0.0006387140422808903,8,4,1208.525390625,1356.5703125,4,1.634538130859375,1,8192,20047.253338025155,32768,21086.786,0.0,nvtx,0.0,266444.647,992,0.0,245357.86099999998,False,False,False
15,4,8,120.0517451171875,2328.0107646484375,440,28105,0.3271307480717116,0.01686960291759249,39.2726171875,256140912.0,0.0,0.0,0.23854981362819672,nvtx,1,0.0,256140912.0,0.0,256140912.0,48000000000.0,unknown,50.26444513595527,4,312.0,39.20626720604511,1253.0970670000002,1253.0970670000002,1253.0970670000002,1,0.0,0.0637719276367037,319.76057621874986,heuristic,4,5014.127502,Using heuristic gap-based analysis. For accurate pipeline bubble measurement, use NVTX ranges or Torch Profiler with stage tagging.,1305.798828125,1304.45166015625,1303.1044921875,0.0010406210529237156,2,4,1305.798828125,1305.798828125,4,1.6385263994140624,1,8192,19998.4571574299,32768,20913.807999999997,0.0,nvtx,0.0,256140.91199999998,956,0.0,235227.104,False,False,False
20,4,32,120.408990234375,3355.5560478515627,449,28238,0.3193095803377042,0.011457935314548437,38.447744140625,268641278.0,0.0,0.0,0.2501916866749525,nvtx,1,0.0,268641278.0,0.0,268641278.0,48000000000.0,unknown,39.692540588289596,4,312.0,30.96018165886588,1587.587584,1587.587584,1587.587584,1,0.0,0.05245752744842321,333.0403260859377,heuristic,4,6348.761413000001,Using heuristic gap-based analysis. For accurate pipeline bubble measurement, use NVTX ranges or Torch Profiler with stage tagging.,2870.9619140625,1094.958740234375,20.2158203125,0.0006898723508445535,8,4,1420.173828125,2870.9619140625,4,1.6456222666015625,1,8192,19912.22449102518,32768,20843.886999999995,0.0,nvtx,0.0,268641.27800000005,992,0.0,247797.39100000006,False,False,False
