iteration,coll_call_num_num_traces,coll_call_num_total_calls,comm_comp_overlap_comm_time_ms,comm_comp_overlap_comp_time_ms,comm_comp_overlap_num_comm_kernels,comm_comp_overlap_num_comp_kernels,comm_comp_overlap_overlap_ratio_of_comm,comm_comp_overlap_overlap_ratio_of_comp,comm_comp_overlap_overlap_time_ms,comm_volume_bytes_per_step,comm_volume_dp_bytes,comm_volume_ep_bytes,comm_volume_gb_per_step,comm_volume_mode,comm_volume_num_steps,comm_volume_pp_bytes,comm_volume_total_bytes,comm_volume_tp_bytes,comm_volume_unknown_bytes,hardware_saturation_estimated_flops_per_token,hardware_saturation_gpu_model,hardware_saturation_mfu_percent,hardware_saturation_num_gpus,hardware_saturation_peak_tflops_per_gpu,hardware_saturation_tflops_per_gpu,iter_time_avg_iter_time_ms,iter_time_max_iter_time_ms,iter_time_min_iter_time_ms,iter_time_num_iterations,iter_time_std_iter_time_ms,pipeline_bubble_bubble_ratio,pipeline_bubble_bubble_time_ms,pipeline_bubble_method,pipeline_bubble_num_ranks,pipeline_bubble_total_time_ms,pipeline_bubble_warning,straggler_lag_max_lag_us,straggler_lag_mean_lag_us,straggler_lag_min_lag_us,straggler_lag_normalized_lag,straggler_lag_num_collectives,straggler_lag_num_ranks,straggler_lag_p50_lag_us,straggler_lag_p95_lag_us,throughput_tokens_batch_size,throughput_tokens_measured_duration_s,throughput_tokens_num_iterations,throughput_tokens_seq_len,throughput_tokens_throughput_tokens_per_s,throughput_tokens_total_tokens,traffic_distribution_dp_bytes,traffic_distribution_ep_bytes,traffic_distribution_mode,traffic_distribution_pp_bytes,traffic_distribution_total_bytes,traffic_distribution_total_comm_calls,traffic_distribution_tp_bytes,traffic_distribution_unknown_bytes,training_quality_has_grad_norm,training_quality_has_loss,training_quality_has_lr
5,4,3760,728.0509033203125,2960.940810546875,1432,38839,0.5842982304563249,0.143670164893846,425.3988544921875,1639890529.0,1164621511.0,0.0,1.527267069555819,nvtx,1,4560973.0,1639890529.0,0.0,470708045.0,48000000000.0,unknown,21.820435178723578,4,312.0,68.07975775761756,1444.361695,1444.361695,1444.361695,1,0.0,0.05433674203804508,315.69763290624996,nvtx,4,5810.021379,None,290119.3564453125,81087.0648204217,793.15625,0.05582565676161289,787,4,43858.74609375,260143.685546875,4,1.5656702783203125,1,8192,20929.055404407543,32768,1356718.6929999993,0.0,nvtx,4560.973,1639890.5289999992,5358,0.0,278610.8629999999,False,False,False
10,4,3760,720.3386923828125,2961.962142578125,1432,38844,0.5838274188785226,0.14198475849732942,420.5534794921875,1609258327.0,1146583022.0,0.0,1.4987386083230376,nvtx,1,1045325.0,1609258327.0,0.0,461629980.0,48000000000.0,unknown,21.673041540765126,4,312.0,67.61988960718719,1688.3355,1688.3355,1688.3355,1,0.0,0.052608733517811805,328.66088383593734,nvtx,4,6247.268502,None,298043.0498046875,87635.89028748412,6386.5576171875,0.056111492732818104,787,4,49565.0927734375,274856.3056640625,4,1.53451887890625,1,8192,21353.924314933065,32768,1339833.0749999997,0.0,nvtx,1045.325,1609258.3269999996,5358,0.0,268379.9269999999,False,False,False
15,4,3760,714.5337919921875,3034.559763671875,1432,38839,0.5819024577792237,0.13701788796653983,415.7889697265625,1634936404.0,1154156226.0,0.0,1.5226531811058521,nvtx,1,1408360.0,1634936404.0,0.0,479371818.0,48000000000.0,unknown,21.203957103036604,4,312.0,66.1563461614742,1484.172116,1484.172116,1484.172116,1,0.0,0.05463655474405822,323.27996024218737,nvtx,4,5916.917011999999,None,342253.6630859375,106773.34672063612,12973.3310546875,0.07218174363716165,787,4,61559.333984375,317510.1513671875,4,1.5930612734375,1,8192,20569.202545042957,32768,1355179.086,0.0,nvtx,1408.3600000000001,1634936.404,5358,0.0,278348.958,False,False,False
20,4,3760,703.4394892578125,3030.3295869140625,1432,38844,0.5832199050159006,0.1353845845286959,410.259912109375,1599302569.0,1141640486.0,0.0,1.489466586150229,nvtx,1,1037642.0,1599302569.0,0.0,456624441.0,48000000000.0,unknown,21.344897753247373,4,312.0,66.59608099013181,1728.408801,1728.408801,1728.408801,1,0.0,0.05028252169951435,318.82229973437495,nvtx,4,6340.6187469999995,None,322432.09375,98855.01579623968,10368.98828125,0.062363008873865464,787,4,51731.41796875,296498.2119140625,4,1.5589985205078125,1,8192,21018.62161442365,32768,1332490.0870000008,0.0,nvtx,1037.642,1599302.5690000008,5358,0.0,265774.84,False,False,False
