iteration,coll_call_num_num_traces,coll_call_num_total_calls,comm_comp_overlap_comm_time_ms,comm_comp_overlap_comp_time_ms,comm_comp_overlap_num_comm_kernels,comm_comp_overlap_num_comp_kernels,comm_comp_overlap_overlap_ratio_of_comm,comm_comp_overlap_overlap_ratio_of_comp,comm_comp_overlap_overlap_time_ms,comm_volume_bytes_per_step,comm_volume_dp_bytes,comm_volume_ep_bytes,comm_volume_gb_per_step,comm_volume_mode,comm_volume_num_steps,comm_volume_pp_bytes,comm_volume_total_bytes,comm_volume_tp_bytes,comm_volume_unknown_bytes,hardware_saturation_estimated_flops_per_token,hardware_saturation_gpu_model,hardware_saturation_mfu_percent,hardware_saturation_num_gpus,hardware_saturation_peak_tflops_per_gpu,hardware_saturation_tflops_per_gpu,iter_time_avg_iter_time_ms,iter_time_max_iter_time_ms,iter_time_min_iter_time_ms,iter_time_num_iterations,iter_time_std_iter_time_ms,pipeline_bubble_bubble_ratio,pipeline_bubble_bubble_time_ms,pipeline_bubble_method,pipeline_bubble_num_ranks,pipeline_bubble_total_time_ms,pipeline_bubble_warning,straggler_lag_max_lag_us,straggler_lag_mean_lag_us,straggler_lag_min_lag_us,straggler_lag_normalized_lag,straggler_lag_num_collectives,straggler_lag_num_ranks,straggler_lag_p50_lag_us,straggler_lag_p95_lag_us,throughput_tokens_batch_size,throughput_tokens_measured_duration_s,throughput_tokens_num_iterations,throughput_tokens_seq_len,throughput_tokens_throughput_tokens_per_s,throughput_tokens_total_tokens,traffic_distribution_dp_bytes,traffic_distribution_ep_bytes,traffic_distribution_mode,traffic_distribution_pp_bytes,traffic_distribution_total_bytes,traffic_distribution_total_comm_calls,traffic_distribution_tp_bytes,traffic_distribution_unknown_bytes,training_quality_has_grad_norm,training_quality_has_loss,training_quality_has_lr
5,4,5976,241.6766328125,2579.1696552734375,2497,44993,0.24474444626082067,0.02293335514045669,59.149013671875,801570888.0,0.0,0.0,0.7465210631489754,nvtx,1,0.0,801570888.0,0.0,801570888.0,48000000000.0,unknown,46.19187465216636,4,312.0,36.02966222868976,1363.796713,1363.796713,1363.796713,1,0.0,0.06529994893863908,355.0863442968749,heuristic,4,5437.773689999999,Using heuristic gap-based analysis. For accurate pipeline bubble measurement, use NVTX ranges or Torch Profiler with stage tagging.,19005.623046875,11990.517736309823,15.9521484375,0.008820166796099102,1494,4,17953.544921875,18751.12109375,4,1.5052761396484375,1,8192,21768.7633098689,32768,203651.58099999992,0.0,nvtx,0.0,801570.8879999997,8700,0.0,597919.3069999998,False,False,False
10,4,5976,230.1832958984375,2557.9821748046875,2497,45001,0.24584706918456778,0.022122862789767436,56.589888671875,776413087.0,0.0,0.0,0.7230910351499915,nvtx,1,0.0,776413087.0,0.0,776413087.0,48000000000.0,unknown,46.97066942063101,4,312.0,36.63712214809219,1347.316774,1347.316774,1347.316774,1,0.0,0.06181093437694205,333.37784847656263,heuristic,4,5393.509285,Using heuristic gap-based analysis. For accurate pipeline bubble measurement, use NVTX ranges or Torch Profiler with stage tagging.,29076.537109375,18738.610599298234,782.9453125,0.013897156459088757,1494,4,26099.2041015625,29048.431640625,4,1.4528419296875,1,8192,22554.41512969567,32768,191627.31400000007,0.0,nvtx,0.0,776413.0870000003,8700,0.0,584785.7730000002,False,False,False
15,4,5976,223.9815654296875,2492.1931650390625,2497,44993,0.2382981059629005,0.02141663156822895,53.3743828125,746000651.0,0.0,0.0,0.694767246954143,nvtx,1,0.0,746000651.0,0.0,746000651.0,48000000000.0,unknown,48.41662168487982,4,312.0,37.76496491420626,1322.1091780000002,1322.1091780000002,1322.1091780000002,1,0.0,0.05799437076008885,302.7784283046876,heuristic,4,5220.824441,Using heuristic gap-based analysis. For accurate pipeline bubble measurement, use NVTX ranges or Torch Profiler with stage tagging.,21745.4345703125,14810.325853544386,2178.3173828125,0.011347116549054162,1494,4,18274.7685546875,21569.052734375,4,1.4240490673828126,1,8192,23010.4430742844,32768,190888.0589999999,0.0,nvtx,0.0,746000.6509999998,8700,0.0,555112.592,False,False,False
20,4,5976,228.4481064453125,2546.3857734375,2497,45001,0.24034086721033357,0.02156209659524813,54.905416015625,746589485.0,0.0,0.0,0.6953156413510442,nvtx,1,0.0,746589485.0,0.0,746589485.0,48000000000.0,unknown,46.91235262755434,4,312.0,36.59163504949238,1360.2723259999998,1360.2723259999998,1360.2723259999998,1,0.0,0.06437279749809414,347.0111653437498,heuristic,4,5390.649138000001,Using heuristic gap-based analysis. For accurate pipeline bubble measurement, use NVTX ranges or Torch Profiler with stage tagging.,37540.8046875,25269.866058635584,3981.8330078125,0.01875088911315124,1494,4,33711.0244140625,37113.2978515625,4,1.4517373955078126,1,8192,22571.575342342043,32768,189369.78600000008,0.0,nvtx,0.0,746589.4850000002,8700,0.0,557219.6990000001,False,False,False
